,experiment,mesh_size,num_points,cuda,omp_threads,n_timesteps,mpts
0,euler,"(20, 20, 20)",8000,True,8,200,4.986520810932946
1,euler,"(30, 30, 30)",27000,True,8,200,16.632580144395437
2,euler,"(60, 60, 60)",216000,True,8,200,95.8485592763434
3,euler,"(100, 100, 100)",1000000,True,8,200,195.3743176551956
4,euler,"(150, 150, 150)",3375000,True,8,200,245.4567768797898
5,euler,"(200, 200, 200)",8000000,True,8,200,264.70682147824533
6,euler,"(250, 250, 250)",15625000,True,8,200,263.89324019520495
7,euler,"(300, 300, 300)",27000000,True,8,200,267.10288194611553
8,euler,"(350, 350, 350)",42875000,True,8,200,261.18356818787186
9,euler,"(400, 400, 400)",64000000,True,8,200,259.400990826669
10,heat,"(20, 20, 20)",8000,True,8,200,43.23039096484829
11,heat,"(30, 30, 30)",27000,True,8,200,144.60541466941595
12,heat,"(60, 60, 60)",216000,True,8,200,1031.764986864103
13,heat,"(100, 100, 100)",1000000,True,8,200,3374.616137414369
14,heat,"(150, 150, 150)",3375000,True,8,200,5907.837731390311
15,heat,"(200, 200, 200)",8000000,True,8,200,6440.2645338657285
16,heat,"(250, 250, 250)",15625000,True,8,200,6354.066907816214
17,heat,"(300, 300, 300)",27000000,True,8,200,6441.692542786557
18,heat,"(350, 350, 350)",42875000,True,8,200,6400.251979599804
19,heat,"(400, 400, 400)",64000000,True,8,200,6400.563249565962
20,heat,"(450, 450, 450)",91125000,True,8,200,6334.366990805523
21,wave,"(20, 20, 20)",8000,True,8,200,40.60192351612658
22,wave,"(30, 30, 30)",27000,True,8,200,137.54807814768589
23,wave,"(60, 60, 60)",216000,True,8,200,978.8593569437836
24,wave,"(100, 100, 100)",1000000,True,8,200,3181.2180884060513
25,wave,"(150, 150, 150)",3375000,True,8,200,5400.864138262122
26,wave,"(200, 200, 200)",8000000,True,8,200,6559.742858079963
27,wave,"(250, 250, 250)",15625000,True,8,200,6807.13692909904
28,wave,"(300, 300, 300)",27000000,True,8,200,7109.688003191461
29,wave,"(350, 350, 350)",42875000,True,8,200,7163.80852288534
30,wave,"(400, 400, 400)",64000000,True,8,200,7258.585403778661
31,wave,"(450, 450, 450)",91125000,True,8,200,7135.376393551734
