,num_proc,times_microseconds,mesh_sizes
5,1,72569324,547
6,1,72631839,547
7,1,71816045,547
8,1,65974276,547
9,1,67022938,547
10,1,91857195,632
11,1,91769132,632
12,1,91364336,632
13,1,91138479,632
14,1,93046190,632
15,1,117155803,707
16,1,118534981,707
17,1,121773825,707
18,1,123629166,707
19,1,118601541,707
30,2,35339969,547
31,2,35678173,547
32,2,33891509,547
33,2,34253394,547
34,2,34857718,547
35,2,49211614,632
36,2,49014921,632
37,2,46922721,632
38,2,47187646,632
39,2,47389919,632
40,2,63948289,707
41,2,57409084,707
42,2,56640438,707
43,2,57017540,707
44,2,56181327,707
55,3,21902844,547
56,3,22110448,547
57,3,19965572,547
58,3,22181767,547
59,3,21341766,547
60,3,29728860,632
61,3,29259696,632
62,3,30668880,632
63,3,30407152,632
64,3,30003518,632
65,3,40123024,707
66,3,40679419,707
67,3,38465659,707
68,3,39066964,707
69,3,39162565,707
80,4,16794251,547
81,4,15799131,547
82,4,15423151,547
83,4,15538526,547
84,4,15486302,547
85,4,22263058,632
86,4,23011995,632
87,4,21915961,632
88,4,22602468,632
89,4,22513075,632
90,4,29454146,707
91,4,29106778,707
92,4,28849491,707
93,4,30561326,707
94,4,29315174,707
105,5,13051415,547
106,5,12451359,547
107,5,12612335,547
108,5,12568622,547
109,5,12308949,547
110,5,17001072,632
111,5,17555617,632
112,5,17306773,632
113,5,17064359,632
114,5,17331834,632
115,5,22274688,707
116,5,23380455,707
117,5,23008237,707
118,5,23304583,707
119,5,22943052,707
130,6,10826857,547
131,6,11622238,547
132,6,11558562,547
133,6,11632882,547
134,6,11400251,547
135,6,15676846,632
136,6,14521470,632
137,6,14591535,632
138,6,15505995,632
139,6,15227053,632
140,6,19534079,707
141,6,19386504,707
142,6,20047073,707
143,6,18619030,707
144,6,18733991,707
55,7,9445412,547
56,7,10441207,547
57,7,9360136,547
58,7,9355153,547
59,7,9935973,547
60,7,13147592,632
61,7,13077467,632
62,7,13227883,632
63,7,13238599,632
64,7,12611135,632
65,7,16051824,707
66,7,16917328,707
67,7,17096132,707
68,7,16925275,707
69,7,16475768,707
80,8,8580975,547
81,8,8288039,547
82,8,9585067,547
83,8,8632673,547
84,8,8589356,547
85,8,11741614,632
86,8,12101690,632
87,8,11625924,632
88,8,11136333,632
89,8,10744209,632
90,8,14521609,707
91,8,13934298,707
92,8,13844132,707
93,8,14837732,707
94,8,14106752,707
